Anio,Ciudad,TemperaturaPromedio
2004,"Bangui",78.32
2017,"Brazzaville",78.30
2017,"Nouakchott",78.29
1995,"Brazzaville",78.29
2003,"Bangui",78.29
2006,"Nouakchott",78.27
1995,"Dar Es Salaam",78.24
2015,"Brazzaville",78.17
2002,"Dar Es Salaam",78.15
1996,"Nouakchott",78.14
2002,"Bangui",78.13
2007,"Dhaka",78.11
2018,"Delhi",78.01
2010,"Delhi",78.01
2001,"Dar Es Salaam",78.00
1996,"Banjul",77.98
2001,"Bangui",77.97
2006,"Brazzaville",77.96
1995,"Banjul",77.94
2009,"Brazzaville",77.91
2013,"Brazzaville",77.91
2012,"Nouakchott",77.90
1995,"Nouakchott",77.88
2011,"Brazzaville",77.88
2010,"Dakar",77.87
2005,"Dhaka",77.86
2019,"Delhi",77.86
1996,"Dar Es Salaam",77.84
2018,"Banjul",77.84
2007,"Nouakchott",77.83
2006,"Delhi",77.80
1999,"Dar Es Salaam",77.79
2007,"Brazzaville",77.78
1996,"Bangui",77.78
2009,"Delhi",77.77
2002,"Nouakchott",77.76
2020,"Maputo",77.72
2012,"Brazzaville",77.70
2014,"Nouakchott",77.62
2004,"Nouakchott",77.62
2000,"Nouakchott",77.58
2008,"Brazzaville",77.58
2003,"Nouakchott",77.51
2015,"Delhi",77.49
2001,"Brazzaville",77.46
1999,"Bujumbura",77.40
2002,"Delhi",77.39
2005,"Dakar",77.35
2019,"Hong Kong",77.31
2017,"Dakar",77.29
2004,"Delhi",77.28
2007,"Abidjan",77.26
2019,"Hanoi",77.23
2015,"Hong Kong",77.22
2011,"Nouakchott",77.21
2009,"Nouakchott",77.19
2015,"Hanoi",77.16
1997,"Dhaka",77.15
2008,"Dakar",77.14
1996,"Brazzaville",77.12
1998,"Hanoi",77.10
1999,"Dhaka",77.09
1998,"Dakar",77.05
1999,"Delhi",76.96
2014,"Delhi",76.94
1995,"Delhi",76.94
2001,"Dakar",76.93
1999,"Nouakchott",76.92
2000,"Brazzaville",76.91
2012,"Delhi",76.90
2016,"Dakar",76.81
1997,"Dakar",76.78
2007,"Delhi",76.71
2013,"Delhi",76.70
2016,"Hanoi",76.68
2017,"Hong Kong",76.63
2004,"Bujumbura",76.61
2015,"Dakar",76.60
2000,"Delhi",76.60
2013,"Dakar",76.58
2011,"Dakar",76.56
2005,"Delhi",76.56
2020,"Karachi",76.46
2019,"Dakar",76.45
1998,"Delhi",76.41
2011,"Delhi",76.39
2012,"Dakar",76.36
2009,"Hanoi",76.36
2018,"Hanoi",76.33
2006,"Dakar",76.30
2007,"Dakar",76.27
1998,"Hong Kong",76.25
2010,"Hanoi",76.21
2008,"Delhi",76.20
2016,"Hong Kong",76.18
2017,"Hanoi",76.18
2018,"Hong Kong",76.18
2004,"Dakar",76.17
2007,"Hong Kong",76.17
2001,"Delhi",76.15
2014,"Hong Kong",76.13
2000,"Islamabad",76.08
2014,"Dakar",76.05
2003,"Hanoi",75.98
2003,"Dakar",75.94
2002,"Dakar",75.94
2009,"Hong Kong",75.93
1997,"Hanoi",75.92
1999,"Hanoi",75.91
2006,"Hong Kong",75.89
2007,"Hanoi",75.87
2002,"Hong Kong",75.87
2003,"Delhi",75.87
2006,"Hanoi",75.85
1995,"Dakar",75.82
1996,"Delhi",75.75
2003,"Hong Kong",75.75
1996,"Dakar",75.74
2018,"Cairo",75.72
2009,"Dakar",75.66
2008,"Dhaka",75.64
2019,"Taipei",75.62
2012,"Hong Kong",75.60
2000,"Dakar",75.59
2001,"Hong Kong",75.57
2014,"Hanoi",75.55
1999,"Hong Kong",75.54
2010,"Cairo",75.51
2018,"Taipei",75.46
2013,"Hong Kong",75.45
2010,"Hong Kong",75.45
